                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.57225,                0.39224,                0.85426,                0.97149,                0.98574,                0.98583,                0.90202,                0.42938,                0.30225,                0.81192,             0.00055488,             0.00055488,             0.00055488
                     37,                0.55781,                0.38479,                0.85241,                 0.9786,                0.98499,                 0.9885,                 0.9052,                0.44431,                0.29803,                 0.8139,             0.00055281,             0.00055281,             0.00055281
                     38,                0.55714,                 0.3901,                0.85281,                0.97606,                0.97383,                0.98298,                0.89611,                0.44931,                0.29615,                0.81492,             0.00055075,             0.00055075,             0.00055075
                     39,                0.55051,                0.38554,                0.85094,                0.97734,                0.98244,                0.98442,                0.90317,                0.43079,                0.28347,                0.81156,             0.00054869,             0.00054869,             0.00054869
                     40,                0.54708,                0.38409,                0.85164,                0.97877,                 0.9841,                0.98576,                0.90066,                0.44053,                 0.3018,                 0.8148,             0.00054663,             0.00054663,             0.00054663
                     41,                0.55092,                0.38613,                0.85461,                0.97781,                0.98006,                0.98456,                0.89959,                0.43604,                0.28452,                0.81239,             0.00054456,             0.00054456,             0.00054456
                     42,                 0.5334,                0.37262,                0.84839,                0.97994,                0.97481,                0.98291,                0.90181,                0.43453,                0.28892,                0.81156,              0.0005425,              0.0005425,              0.0005425
                     43,                0.53381,                0.36577,                0.85054,                0.98091,                 0.9752,                0.98738,                 0.9009,                0.43954,                0.28772,                0.81307,             0.00054044,             0.00054044,             0.00054044
                     44,                0.52479,                0.36419,                0.84992,                0.97504,                 0.9734,                0.98474,                0.90036,                0.45799,                0.29109,                0.81937,             0.00053838,             0.00053838,             0.00053838
                     45,                0.52795,                0.36496,                 0.8462,                0.97245,                0.98582,                0.98441,                0.89767,                0.45437,                 0.2872,                0.81744,             0.00053631,             0.00053631,             0.00053631
                     46,                0.52654,                0.36276,                0.84452,                0.96928,                0.98252,                0.98436,                0.90234,                0.42234,                0.28647,                0.81205,             0.00053425,             0.00053425,             0.00053425
                     47,                0.52921,                0.36423,                0.84929,                0.97646,                0.97435,                0.98447,                0.90781,                0.41834,                0.28446,                0.81104,             0.00053219,             0.00053219,             0.00053219
                     48,                0.53805,                0.37375,                0.85106,                 0.9773,                0.97776,                0.98718,                0.91334,                 0.4015,                0.27125,                0.80728,             0.00053013,             0.00053013,             0.00053013
                     49,                 0.5187,                0.35503,                0.84364,                0.97453,                 0.9801,                0.98141,                0.90567,                0.39441,                0.26915,                0.80635,             0.00052806,             0.00052806,             0.00052806
                     50,                0.50827,                0.35017,                0.84249,                 0.9817,                0.97357,                 0.9861,                0.90889,                0.42856,                0.28122,                0.81251,               0.000526,               0.000526,               0.000526
